time,z,wavelength,spectir
2015-09-17T20:12:00Z,-8000.0,spectir_412nm,-0.0175923487
2015-09-18T08:12:00Z,-8000.0,spectir_412nm,-0.0177447763
2015-09-18T14:06:00Z,-6337.0,spectir_412nm,-0.0180877385
2016-07-26T14:24:00Z,-4296.0,spectir_412nm,-0.0272790121
2016-08-01T08:25:00Z,-3272.0,spectir_412nm,-0.0305188083
2016-09-30T08:09:00Z,-8000.0,spectir_412nm,-0.0266040545
2017-05-25T14:02:00Z,-8000.0,spectir_412nm,0.0046261048
2017-05-30T20:05:00Z,-5319.0,spectir_412nm,0.0147417575
2017-09-18T19:55:00Z,-8000.0,spectir_412nm,0.0140673807
2017-09-30T19:59:00Z,-7353.0,spectir_412nm,0.2208505906
2017-10-05T19:59:00Z,-8000.0,spectir_412nm,0.7452267608
2018-06-21T14:09:00Z,-8000.0,spectir_412nm,0.0012295981
2018-07-07T08:12:00Z,-8000.0,spectir_412nm,0.001084342
2019-06-29T02:19:00Z,-8000.0,spectir_412nm,-0.014256015
2019-06-30T02:20:00Z,-7349.0,spectir_412nm,-0.010113488
2019-07-03T08:03:00Z,-2262.0,spectir_412nm,-0.0174149283
2019-07-21T20:03:00Z,-8000.0,spectir_412nm,0.4045175286
2020-09-14T20:12:00Z,-1217.0,spectir_412nm,0.2403779527
2020-09-19T20:12:00Z,-8000.0,spectir_412nm,-0.0015452781
2015-09-17T20:12:00Z,-8000.0,spectir_443nm,-0.0037839716
2015-09-18T08:12:00Z,-8000.0,spectir_443nm,-0.0011600228
2015-09-18T14:06:00Z,-6337.0,spectir_443nm,-0.007294634
2016-07-26T14:24:00Z,-4296.0,spectir_443nm,0.0037739659
2016-08-01T08:25:00Z,-3272.0,spectir_443nm,-0.0120007305
2016-09-30T08:09:00Z,-8000.0,spectir_443nm,-0.010940554
2017-05-25T14:02:00Z,-8000.0,spectir_443nm,0.0803753799
2017-05-30T20:05:00Z,-5319.0,spectir_443nm,0.0322339332
2017-09-18T19:55:00Z,-8000.0,spectir_443nm,0.0450061538
