time,z,wavelength,spectir
2016-08-23T23:36:00Z,-4780.0,spectir_412nm,41.7371282908
2019-06-26T05:07:00Z,-8000.0,spectir_412nm,0.0145407664
2019-06-26T12:33:00Z,-7332.0,spectir_412nm,0.013632097
2019-06-26T23:43:00Z,-1004.0,spectir_412nm,50.2217670929
2019-06-27T01:16:00Z,-8000.0,spectir_412nm,16.2642476085
2016-08-23T23:36:00Z,-4780.0,spectir_443nm,46.1256688081
2019-06-26T05:07:00Z,-8000.0,spectir_443nm,0.0058418798
2019-06-26T12:33:00Z,-7332.0,spectir_443nm,0.0004817822
2019-06-26T23:43:00Z,-1004.0,spectir_443nm,55.5138821447
2019-06-27T01:16:00Z,-8000.0,spectir_443nm,17.503694323
2016-08-23T23:36:00Z,-4780.0,spectir_490nm,51.5895736533
2019-06-26T05:07:00Z,-8000.0,spectir_490nm,0.0092614735
2019-06-26T12:33:00Z,-7332.0,spectir_490nm,0.0135636029
2019-06-26T23:43:00Z,-1004.0,spectir_490nm,61.0091797898
2019-06-27T01:16:00Z,-8000.0,spectir_490nm,18.2621679313
2016-08-23T23:36:00Z,-4780.0,spectir_510nm,-580.6501207893
2019-06-26T05:07:00Z,-8000.0,spectir_510nm,0.0081706545
2019-06-26T12:33:00Z,-7332.0,spectir_510nm,0.0087151322
2019-06-26T23:43:00Z,-1004.0,spectir_510nm,61.5163048292
2019-06-27T01:16:00Z,-8000.0,spectir_510nm,17.8620017719
2016-08-23T23:36:00Z,-4780.0,spectir_555nm,-571.1980626357
2019-06-26T05:07:00Z,-8000.0,spectir_555nm,-0.0095825327
2019-06-26T12:33:00Z,-7332.0,spectir_555nm,-0.0079799737
2019-06-26T23:43:00Z,-1004.0,spectir_555nm,56.4143941679
2019-06-27T01:16:00Z,-8000.0,spectir_555nm,15.836704544
2016-08-23T23:36:00Z,-4780.0,spectir_620nm,-89.3437386024
2019-06-26T05:07:00Z,-8000.0,spectir_620nm,-0.0079933949
2019-06-26T12:33:00Z,-7332.0,spectir_620nm,-0.0093648723
2019-06-26T23:43:00Z,-1004.0,spectir_620nm,44.2139750238
2019-06-27T01:16:00Z,-8000.0,spectir_620nm,13.3432479583
2016-08-23T23:36:00Z,-4780.0,spectir_683nm,-115.909310049
2019-06-26T05:07:00Z,-8000.0,spectir_683nm,0.0141277471
2019-06-26T12:33:00Z,-7332.0,spectir_683nm,0.014863596
2019-06-26T23:43:00Z,-1004.0,spectir_683nm,35.6493378583
2019-06-27T01:16:00Z,-8000.0,spectir_683nm,11.6685975782
